plot_type,n_variants,n_samples,n_values,dpi,average_mem,average_peak_mem,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,peak_memory_0,peak_memory_1,peak_memory_2,peak_memory_3,peak_memory_4,peak_memory_5,peak_memory_6,peak_memory_7,peak_memory_8,peak_memory_9
pcolorfast,500,1000,500000,50,10439687.9,15434520.9,10469158,10476649,10304355,10465968,10478522,10478307,10315624,10468639,10467198,10472459,15463578,15471011,15299328,15460816,15472878,15472665,15310982,15463529,15463011,15467411
pcolormesh,500,1000,500000,50,50529176.9,140701487.0,50569169,50398465,50556588,50560506,50559372,50569180,50397028,50559700,50558611,50563150,140740949,140570682,140729715,140732824,140731744,140740995,140569337,140732065,140730934,140735625
matshow,500,1000,500000,50,10437436.7,15430967.0,10475359,10303324,10468947,10466289,10472841,10473573,10305915,10468502,10471658,10467959,15468476,15296772,15462214,15460668,15466368,15466590,15299369,15461791,15465897,15461525
imshow,500,1000,500000,50,10437036.7,15430131.1,10474574,10303361,10472875,10467932,10467630,10472836,10308670,10468247,10466449,10467793,15467122,15296506,15465978,15461226,15460953,15465532,15301511,15461474,15459984,15461025
pcolorfast,500,1000,500000,100,10439555.2,15434373.8,10463281,10469734,10475682,10477624,10322301,10467761,10467462,10468319,10476188,10307200,15458083,15464463,15470030,15472029,15317324,15462771,15463035,15463132,15470710,15302161
pcolormesh,500,1000,500000,100,50528289.7,140700675.3,50559053,50559824,50563325,50563664,50396081,50558944,50557418,50563927,50565263,50395398,140732387,140732283,140735697,140735547,140568551,140731313,140729737,140736359,140737169,140567710
matshow,500,1000,500000,100,10436836.4,15430218.7,10468312,10467187,10472363,10473382,10306760,10465648,10470727,10467431,10472723,10303831,15461762,15461203,15465535,15466125,15299854,15459119,15465222,15460852,15465893,15296622
imshow,500,1000,500000,100,10437676.7,15430948.3,10471622,10467802,10467159,10472171,10308659,10466890,10465367,10467667,10483796,10305634,15464664,15461408,15460387,15464994,15301665,15460664,15458847,15460999,15476738,15299117
pcolorfast,500,1000,500000,150,10438771.1,15433627.2,10469094,10469256,10316599,10467388,10469577,10476975,10476794,10309629,10466183,10466216,15463800,15464413,15311566,15462343,15464760,15471495,15471142,15304558,15461132,15461063
pcolormesh,500,1000,500000,150,50529057.2,140701318.4,50560117,50567231,50400227,50559494,50559623,50558999,50566276,50400240,50559835,50558530,140732345,140739221,140572540,140731771,140732059,140731432,140738183,140572554,140732186,140730893
matshow,500,1000,500000,150,10437632.3,15431012.3,10468840,10478890,10304875,10467427,10467058,10472257,10474955,10303707,10467883,10470431,15462124,15471996,15298057,15460862,15461430,15465599,15467605,15296642,15461070,15464738
